lng,lat,CAGRL5Y,pop
-42.8246,-22.9354,30.9,1612
-43.2312,-19.6239,15.2,1200
-49.9037,-6.06781,14.5,2082
-43.1034,-22.8832,14.2,5135
-45.1938,-22.8075,10.1,1217
-49.1327,-5.38075,9.2,2793
-46.8579,-23.6437,9.0,2737
-40.3074,-20.121,7.0,5175
-42.5476,-19.4703,6.8,2634
-45.9658,-23.2983,6.6,2336
-52.1071,-32.0349,6.6,2110
-48.6705,-26.9101,6.6,2195
-47.2101,-23.0816,6.5,2516
-47.1488,-22.7542,6.4,1094
-53.8149,-29.6868,6.3,2821
-46.4613,-23.6677,6.2,4729
-54.5827,-25.5427,6.0,2585
-46.3112,-23.5448,5.9,2976
-51.1498,-29.7545,5.7,2368
-47.397,-22.566,5.4,3061
-43.3049,-22.7858,5.2,9195
-50.9869,-29.9413,5.1,2815
-45.8841,-23.1896,5.0,7219
-45.9389,-22.2266,5.0,1507
-47.9297,-15.7795,5.0,30152
-47.6476,-22.7338,4.9,4041
-43.3398,-21.7595,4.9,5688
-50.1668,-25.0916,4.8,3517
-52.3371,-31.7649,4.8,3424
-40.8442,-14.8615,4.7,3384
-45.5593,-23.0104,4.7,3149
-51.1857,-29.9128,4.7,3466
-47.2728,-22.8204,4.7,2824
-44.4509,-22.4705,4.6,1313
-48.3558,-10.24,4.6,2991
-48.2749,-18.9141,4.5,6913
-44.3196,-23.0011,4.5,2037
-56.1322,-15.6458,4.5,2849
-38.3263,-12.6996,4.4,2991
-47.2931,-23.1996,4.4,1186
-48.3743,-1.36391,4.4,5305
-47.2143,-22.8529,4.3,2308
-47.5546,-22.3984,4.3,2064
-45.4613,-22.9246,4.3,1683
-52.6152,-27.1004,4.2,2203
-51.1792,-29.1629,4.2,5109
-51.2065,-30.0318,4.2,14837
-46.7916,-23.5324,4.2,6984
-48.5225,-25.5161,4.1,1549
-40.4165,-20.2632,4.1,3812
-51.7007,-20.7849,4.1,1213
-46.5646,-23.6914,4.1,8389
-38.9663,-12.2664,4.1,6148
-47.8099,-21.1699,4.1,7032
-63.8999,-8.76077,4.0,5295
